# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,ASCII
0,"139","0:02.175.944","13.389.100 ms","128 B","","SP","50","Read Transaction",00 1B 01 1B 02 1B 03 1B 04 1B 05 1B 06 1B 07 1B 10 1C 11 1C 12 1C 13 1C 14 1C 15 1C 16 1C 17 1C 20 1D 21 1D 22 1D 23 1D 24 1D 25 1D 26 1D 27 1D 30 1E 31 1E 32 1E 33 1E 34 1E 35 1E 36 1E 37 1E 40 1F 41 1F 42 1F 43 1F 44 1F 45 1F 46 1F 47 1F 50 20 51 20 52 20 53 20 54 20 55 20 56 20 57 20 60 21 61 21 62 21 63 21 64 21 65 21 66 21 67 21 70 22 71 22 72 22 73 22 74 22 75 22 76 22 77 22*,"........................"
0,"140","0:02.204.626","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"141","0:03.725.183","278.200 us","1 B","","S","50","Write Transaction",09,"."
0,"142","0:03.725.462","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"143","0:03.726.397","278.100 us","1 B","","S","50","Write Transaction",0A,"."
0,"144","0:03.726.675","218.100 us","1 B","","SP","50","Read Transaction",00*,"."
0,"145","0:03.727.599","278.100 us","1 B","","S","50","Write Transaction",0B,"."
0,"146","0:03.727.877","218.100 us","1 B","","SP","50","Read Transaction",00*,"."
0,"147","0:03.728.736","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"148","0:03.729.015","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"149","0:03.729.868","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"150","0:03.730.776","278.100 us","1 B","","S","50","Write Transaction",91,"."
0,"151","0:03.731.054","218.100 us","1 B","","SP","50","Read Transaction",60*,"`"
0,"152","0:03.731.904","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"153","0:03.732.758","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"154","0:03.733.036","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"155","0:03.733.894","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"156","0:03.734.803","278.200 us","1 B","","S","50","Write Transaction",8B,"."
0,"157","0:03.735.081","529.100 us","4 B","","SP","50","Read Transaction",00 00 00 00*,"...."
0,"158","0:03.736.597","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"159","0:03.737.796","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"160","0:03.738.074","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"161","0:03.738.923","321.700 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"162","0:03.739.828","278.200 us","1 B","","S","50","Write Transaction",95,"."
0,"163","0:03.740.106","529.100 us","4 B","","SP","50","Read Transaction",00 00 00 00*,"...."
0,"164","0:03.741.623","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"165","0:03.742.782","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"166","0:03.743.060","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"167","0:03.743.909","321.800 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"168","0:03.744.641","278.200 us","1 B","","S","50","Write Transaction",8F,"."
0,"169","0:03.744.919","529.100 us","4 B","","SP","50","Read Transaction",00 9A 00 9A*,"...."
0,"170","0:03.746.434","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"171","0:03.748.798","278.200 us","1 B","","S","50","Write Transaction",08,"."
